frame,x,y,w,h,cx,cy
72,244,246,18,17,253,254
72,96,176,24,16,108,184
72,48,176,22,14,59,183
72,455,174,21,14,465,181
72,170,174,22,16,181,182
72,528,170,22,16,539,178
72,107,118,22,13,118,124
72,244,102,16,16,252,110
73,244,246,18,17,253,254
73,96,176,24,16,108,184
73,48,176,22,14,59,183
73,455,174,21,14,465,181
73,170,174,22,16,181,182
73,528,170,22,16,539,178
73,107,118,22,13,118,124
73,244,102,16,16,252,110
74,244,246,18,17,253,254
74,96,176,24,16,108,184
74,48,176,22,14,59,183
74,455,174,21,14,465,181
74,170,174,22,16,181,182
74,528,170,22,16,539,178
74,107,118,22,13,118,124
74,244,102,16,16,252,110
75,244,246,18,17,253,254
75,96,176,24,16,108,184
75,48,176,22,14,59,183
75,455,174,21,14,465,181
75,170,174,22,16,181,182
75,528,170,22,16,539,178
75,107,118,22,13,118,124
75,244,102,16,16,252,110
76,244,246,18,17,253,254
76,96,176,24,16,108,184
76,48,176,22,14,59,183
76,455,174,21,14,465,181
76,170,174,22,16,181,182
76,528,170,22,16,539,178
76,107,118,22,13,118,124
76,244,102,16,16,252,110
77,244,246,18,17,253,254
77,96,176,24,16,108,184
77,48,176,22,14,59,183
77,455,174,21,14,465,181
77,170,174,22,16,181,182
77,528,170,22,16,539,178
77,107,118,22,13,118,124
77,244,102,16,16,252,110
78,244,246,18,17,253,254
78,96,176,24,16,108,184
78,48,176,22,14,59,183
78,455,174,21,14,465,181
78,170,174,22,16,181,182
78,528,170,22,16,539,178
78,107,118,22,13,118,124
78,244,102,16,16,252,110
79,244,246,18,17,253,254
79,96,176,24,16,108,184
79,48,176,22,14,59,183
79,455,174,21,14,465,181
79,170,174,22,16,181,182
79,528,170,22,16,539,178
79,107,118,22,13,118,124
79,244,102,16,16,252,110
80,383,248,14,14,390,255
80,244,246,18,17,253,254
80,96,176,24,16,108,184
80,48,176,22,14,59,183
80,455,174,21,14,465,181
80,170,174,22,16,181,182
80,528,170,22,16,539,178
80,107,118,22,13,118,124
80,244,102,16,16,252,110
81,244,246,18,17,253,254
81,96,176,24,16,108,184
81,48,176,22,14,59,183
81,455,174,21,14,465,181
81,170,174,22,16,181,182
81,528,170,22,16,539,178
81,107,118,22,13,118,124
81,244,102,16,16,252,110
82,244,246,18,17,253,254
82,96,176,24,16,108,184
82,48,176,22,14,59,183
82,455,174,21,14,465,181
82,170,174,22,16,181,182
82,528,170,22,16,539,178
82,107,118,22,13,118,124
82,244,102,16,16,252,110
83,244,246,18,17,253,254
83,96,176,24,16,108,184
83,48,176,22,14,59,183
83,455,174,21,14,465,181
83,170,174,22,16,181,182
83,528,170,22,16,539,178
83,107,118,22,13,118,124
83,244,102,16,16,252,110
84,244,246,18,17,253,254
84,96,176,24,16,108,184
84,48,176,22,14,59,183
84,455,174,21,14,465,181
84,170,174,22,16,181,182
84,528,170,22,16,539,178
84,107,118,22,13,118,124
84,244,102,16,16,252,110
85,244,246,18,17,253,254
85,96,176,24,16,108,184
85,48,176,22,14,59,183
85,455,174,21,14,465,181
85,170,174,22,16,181,182
85,528,170,22,16,539,178
85,107,118,22,13,118,124
85,244,102,16,16,252,110
86,244,246,18,17,253,254
86,96,176,24,16,108,184
86,48,176,22,14,59,183
86,455,174,21,14,465,181
86,170,174,22,16,181,182
86,528,170,22,16,539,178
86,107,118,22,13,118,124
86,244,102,16,16,252,110
87,244,246,18,17,253,254
87,96,176,24,16,108,184
87,48,176,22,14,59,183
87,455,174,21,14,465,181
87,170,174,22,16,181,182
87,528,170,22,16,539,178
87,107,118,22,13,118,124
87,244,102,16,16,252,110
88,244,246,18,17,253,254
88,96,176,24,16,108,184
88,48,176,22,14,59,183
88,455,174,21,14,465,181
88,170,174,22,16,181,182
88,528,170,22,16,539,178
88,107,118,22,13,118,124
88,244,102,16,16,252,110
89,244,246,18,17,253,254
89,96,176,24,16,108,184
89,48,176,22,14,59,183
89,455,174,21,14,465,181
89,170,174,22,16,181,182
89,528,170,22,16,539,178
89,107,118,22,13,118,124
89,244,102,16,16,252,110
90,244,246,18,17,253,254
90,96,176,24,16,108,184
90,48,176,22,14,59,183
90,455,174,21,14,465,181
90,170,174,22,16,181,182
90,528,170,22,16,539,178
90,107,118,22,13,118,124
90,244,102,16,16,252,110
91,244,246,18,17,253,254
91,96,176,24,16,108,184
91,48,176,22,14,59,183
91,455,174,21,14,465,181
91,170,174,22,16,181,182
91,528,170,22,16,539,178
91,107,118,22,13,118,124
91,244,102,16,16,252,110
92,244,246,18,17,253,254
92,96,176,24,16,108,184
92,48,176,22,14,59,183
92,455,174,21,14,465,181
92,170,174,22,16,181,182
92,528,170,22,16,539,178
92,107,118,22,13,118,124
92,244,102,16,16,252,110
93,244,246,18,17,253,254
93,96,176,24,16,108,184
93,48,176,22,14,59,183
93,455,174,21,14,465,181
93,170,174,22,16,181,182
93,528,170,22,16,539,178
93,107,118,22,13,118,124
93,244,102,16,16,252,110
94,244,246,18,17,253,254
94,96,176,24,16,108,184
94,48,176,22,14,59,183
94,455,174,21,14,465,181
94,170,174,22,16,181,182
94,528,170,22,16,539,178
94,107,118,22,13,118,124
94,244,102,16,16,252,110
95,244,246,18,17,253,254
95,96,176,24,16,108,184
95,48,176,22,14,59,183
95,455,174,21,14,465,181
95,170,174,22,16,181,182
95,528,170,22,16,539,178
95,107,118,22,13,118,124
95,244,102,16,16,252,110
96,244,246,18,17,253,254
96,96,176,24,16,108,184
96,48,176,22,14,59,183
96,455,174,21,14,465,181
96,170,174,22,16,181,182
96,528,170,22,16,539,178
96,107,118,22,13,118,124
96,244,102,16,16,252,110
97,244,246,18,17,253,254
97,96,176,24,16,108,184
97,48,176,22,14,59,183
97,455,174,21,14,465,181
97,170,174,22,16,181,182
97,528,170,22,16,539,178
97,107,118,22,13,118,124
97,244,102,16,16,252,110
98,244,246,18,17,253,254
98,96,176,24,16,108,184
98,48,176,22,14,59,183
98,455,174,21,14,465,181
98,170,174,22,16,181,182
98,528,170,22,16,539,178
98,107,118,22,13,118,124
98,244,102,16,16,252,110
99,244,246,18,17,253,254
99,96,176,24,16,108,184
99,48,176,22,14,59,183
99,455,174,21,14,465,181
99,170,174,22,16,181,182
99,528,170,22,16,539,178
99,107,118,22,13,118,124
99,244,102,16,16,252,110
100,244,246,18,17,253,254
100,96,176,24,16,108,184
100,48,176,22,14,59,183
100,455,174,21,14,465,181
100,170,174,22,16,181,182
100,528,170,22,16,539,178
100,107,118,22,13,118,124
100,244,102,16,16,252,110
101,383,248,14,14,390,255
101,244,246,18,17,253,254
101,96,176,24,16,108,184
101,48,176,22,14,59,183
101,455,174,21,14,465,181
101,170,174,22,16,181,182
101,528,170,22,16,539,178
101,107,118,22,13,118,124
101,244,102,16,16,252,110
102,244,246,18,17,253,254
102,96,176,24,16,108,184
102,48,176,22,14,59,183
102,455,174,21,14,465,181
102,170,174,22,16,181,182
102,528,170,22,16,539,178
102,107,118,22,13,118,124
102,244,102,16,16,252,110
103,244,246,18,17,253,254
103,96,176,24,16,108,184
103,48,176,22,14,59,183
103,455,174,21,14,465,181
103,170,174,22,16,181,182
103,528,170,22,16,539,178
103,107,118,22,13,118,124
103,244,102,16,16,252,110
104,244,246,18,17,253,254
104,96,176,24,16,108,184
104,48,176,22,14,59,183
104,455,174,21,14,465,181
104,170,174,22,16,181,182
104,528,170,22,16,539,178
104,107,118,22,13,118,124
104,244,102,16,16,252,110
105,244,246,18,17,253,254
105,96,176,24,16,108,184
105,48,176,22,14,59,183
105,455,174,21,14,465,181
105,170,174,22,16,181,182
105,528,170,22,16,539,178
105,107,118,22,13,118,124
105,244,102,16,16,252,110
106,244,246,18,17,253,254
106,96,176,24,16,108,184
106,48,176,22,14,59,183
106,455,174,21,14,465,181
106,170,174,22,16,181,182
106,528,170,22,16,539,178
106,107,118,22,13,118,124
106,244,102,16,16,252,110
107,244,246,18,17,253,254
107,96,176,24,16,108,184
107,48,176,22,14,59,183
107,455,174,21,14,465,181
107,170,174,22,16,181,182
107,528,170,22,16,539,178
107,107,118,22,13,118,124
107,244,102,16,16,252,110
108,244,246,18,17,253,254
108,96,176,24,16,108,184
108,48,176,22,14,59,183
108,455,174,21,14,465,181
108,170,174,22,16,181,182
108,528,170,22,16,539,178
108,107,118,22,13,118,124
108,244,102,16,16,252,110
109,244,246,18,17,253,254
109,96,176,24,16,108,184
109,48,176,22,14,59,183
109,455,174,21,14,465,181
109,170,174,22,16,181,182
109,528,170,22,16,539,178
109,107,118,22,13,118,124
109,244,102,16,16,252,110
110,244,246,18,17,253,254
110,96,176,24,16,108,184
110,48,176,22,14,59,183
110,455,174,21,14,465,181
110,170,174,22,16,181,182
110,528,170,22,16,539,178
110,107,118,22,13,118,124
110,244,102,16,16,252,110
111,244,246,18,17,253,254
111,96,176,24,16,108,184
111,48,176,22,14,59,183
111,455,174,21,14,465,181
111,170,174,22,16,181,182
111,528,170,22,16,539,178
111,107,118,22,13,118,124
111,244,102,16,16,252,110
112,244,246,18,17,253,254
112,96,176,24,16,108,184
112,48,176,22,14,59,183
112,455,174,21,14,465,181
112,170,174,22,16,181,182
112,528,170,22,16,539,178
112,107,118,22,13,118,124
112,244,102,16,16,252,110
113,244,246,18,17,253,254
113,96,176,24,16,108,184
113,48,176,22,14,59,183
113,455,174,21,14,465,181
113,170,174,22,16,181,182
113,528,170,22,16,539,178
113,107,118,22,13,118,124
113,244,102,16,16,252,110
114,244,246,18,17,253,254
114,96,176,24,16,108,184
114,48,176,22,14,59,183
114,455,174,21,14,465,181
114,170,174,22,16,181,182
114,528,170,22,16,539,178
114,107,118,22,13,118,124
114,244,102,16,16,252,110
115,244,246,18,17,253,254
115,96,176,24,16,108,184
115,48,176,22,14,59,183
115,455,174,21,14,465,181
115,170,174,22,16,181,182
115,528,170,22,16,539,178
115,107,118,22,13,118,124
115,244,102,16,16,252,110
116,244,246,18,17,253,254
116,96,176,24,16,108,184
116,48,176,22,14,59,183
116,455,174,21,14,465,181
116,170,174,22,16,181,182
116,528,170,22,16,539,178
116,107,118,22,13,118,124
116,244,102,16,16,252,110
117,244,246,18,17,253,254
117,96,176,24,16,108,184
117,48,176,22,14,59,183
117,455,174,21,14,465,181
117,170,174,22,16,181,182
117,528,170,22,16,539,178
117,107,118,22,13,118,124
117,244,102,16,16,252,110
118,244,246,18,17,253,254
118,96,176,24,16,108,184
118,48,176,22,14,59,183
118,455,174,21,14,465,181
118,170,174,22,16,181,182
118,528,170,22,16,539,178
118,107,118,22,13,118,124
118,244,102,16,16,252,110
119,244,246,18,17,253,254
119,96,176,24,16,108,184
119,48,176,22,14,59,183
119,455,174,21,14,465,181
119,170,174,22,16,181,182
119,528,170,22,16,539,178
119,107,118,22,13,118,124
119,244,102,16,16,252,110
120,244,246,18,17,253,254
120,96,176,24,16,108,184
120,48,176,22,14,59,183
120,455,174,21,14,465,181
120,170,174,22,16,181,182
120,528,170,22,16,539,178
120,107,118,22,13,118,124
120,244,102,16,16,252,110
121,244,246,18,17,253,254
121,96,176,24,16,108,184
121,48,176,22,14,59,183
121,455,174,21,14,465,181
121,170,174,22,16,181,182
121,528,170,22,16,539,178
121,107,118,22,13,118,124
121,244,102,16,16,252,110
122,244,246,18,17,253,254
122,96,176,24,16,108,184
122,48,176,22,14,59,183
122,455,174,21,14,465,181
122,170,174,22,16,181,182
122,528,170,22,16,539,178
122,107,118,22,13,118,124
122,244,102,16,16,252,110
123,244,246,18,17,253,254
123,96,176,24,16,108,184
123,48,176,22,14,59,183
123,455,174,21,14,465,181
123,170,174,22,16,181,182
123,528,170,22,16,539,178
